HR,EDA,TEMP,ACC_X,ACC_Y,ACC_Z,BVP,IBI,label
111,0.38,36.6,0.08,-0.07,-0.07,0.96,0.71,stress
74,0.5,36.5,0.02,0.03,0.06,0.8,0.86,no_stress
120,0.62,37.4,0.09,-0.0,-0.06,0.71,0.94,stress
80,0.64,36.3,0.07,-0.06,0.06,0.72,0.72,stress
83,0.68,36.1,0.03,0.04,0.05,0.74,0.84,stress
62,0.62,37.2,0.02,0.1,-0.04,0.76,0.89,stress
81,0.58,36.1,-0.03,0.05,-0.03,0.9,0.9,stress
112,0.27,37.3,-0.07,0.05,0.06,0.75,0.8,stress
61,0.38,36.7,0.02,0.09,-0.01,0.74,0.75,stress
89,0.43,37.4,-0.04,-0.06,0.05,0.93,0.71,stress
97,0.16,37.1,0.07,0.01,-0.07,0.9,0.84,no_stress
61,0.47,36.9,0.1,0.1,0.07,0.83,0.81,stress
123,0.41,37.4,0.05,-0.07,0.04,0.86,0.94,stress
119,0.66,36.6,-0.08,0.04,0.08,0.79,0.72,stress
80,0.78,37.4,-0.04,0.02,-0.07,0.84,0.87,stress
92,0.49,36.2,-0.08,0.02,0.02,0.85,0.71,stress
117,0.33,36.7,0.03,0.04,0.02,0.82,0.74,stress
81,0.13,36.4,0.05,0.09,-0.03,0.97,0.81,stress
108,0.75,36.8,0.09,0.06,-0.01,0.7,0.81,stress
118,0.74,36.2,-0.01,-0.09,-0.09,0.93,0.87,stress
101,0.28,37.3,0.08,0.07,0.05,0.74,0.93,stress
119,0.59,37.3,0.08,-0.05,0.01,0.94,0.86,stress
74,0.15,37.4,-0.04,-0.02,-0.09,0.88,0.94,stress
121,0.22,36.2,0.07,-0.01,0.04,0.95,0.92,stress
121,0.25,36.9,-0.02,-0.0,-0.01,0.73,0.85,stress
106,0.31,36.7,-0.04,-0.01,-0.09,0.87,0.91,stress
121,0.8,36.5,0.03,0.09,0.09,0.85,0.86,stress
110,0.59,36.5,-0.03,0.04,0.09,0.91,0.72,stress
114,0.37,36.6,0.03,0.03,0.0,0.86,0.89,stress
123,0.62,37.1,0.02,-0.09,-0.08,0.86,0.72,stress
62,0.74,36.9,0.01,0.08,0.05,0.83,0.85,stress
110,0.77,36.7,-0.02,0.08,-0.0,0.79,0.88,stress
66,0.14,36.1,0.01,0.06,-0.04,0.84,0.72,stress
80,0.38,36.1,0.02,-0.1,-0.0,0.74,0.76,stress
98,0.17,36.0,0.01,-0.09,0.0,0.99,0.93,stress
77,0.33,37.5,-0.01,-0.05,0.01,0.91,0.85,stress
63,0.22,36.0,-0.1,-0.07,-0.01,0.99,0.76,stress
119,0.55,36.2,0.02,-0.02,0.02,0.77,0.87,stress
73,0.37,36.5,-0.07,0.08,0.08,0.96,0.85,stress
68,0.26,37.2,0.03,-0.01,-0.03,0.94,0.83,no_stress
112,0.29,37.4,0.05,-0.1,0.05,0.9,0.94,stress
61,0.35,37.2,0.0,-0.04,0.08,0.89,0.87,no_stress
119,0.28,37.0,0.01,-0.09,-0.01,0.79,0.79,stress
103,0.42,36.8,0.09,-0.09,-0.01,0.94,0.9,stress
67,0.12,36.1,0.07,-0.04,0.02,0.85,0.92,no_stress
106,0.3,37.4,0.08,-0.04,0.02,0.72,0.73,stress
94,0.39,37.1,0.06,0.06,0.06,0.79,0.75,no_stress
95,0.52,37.0,-0.08,0.09,-0.0,0.98,0.75,stress
109,0.29,37.1,-0.07,-0.03,0.1,0.96,0.87,stress
63,0.19,37.1,0.01,-0.01,-0.09,0.99,0.85,stress
61,0.15,37.0,-0.05,0.07,-0.1,0.89,0.85,stress
65,0.76,37.5,-0.0,-0.05,0.03,0.77,0.94,stress
113,0.39,37.4,-0.02,-0.07,-0.04,0.75,0.89,stress
63,0.51,37.0,0.01,0.07,-0.05,0.76,0.73,stress
113,0.74,37.0,0.05,-0.09,-0.04,0.71,0.79,stress
122,0.16,36.1,0.04,0.02,-0.05,0.82,0.81,stress
77,0.71,37.0,0.0,0.01,-0.09,0.76,0.8,stress
103,0.49,36.1,0.06,-0.03,0.09,0.82,0.87,stress
93,0.22,36.9,-0.01,-0.04,-0.06,0.98,0.92,stress
121,0.39,37.5,0.08,0.05,0.05,0.83,0.78,stress
73,0.64,36.8,-0.09,-0.08,0.05,0.96,0.84,stress
107,0.44,36.7,0.09,-0.05,0.09,0.88,0.9,stress
74,0.79,36.5,0.03,0.05,-0.09,0.77,0.8,stress
