HR,EDA,IBI,TEMP,ACC_x,ACC_y,ACC_z
91.0,1.63,0.33,37.3,0.912,0.348,0.622
104.0,3.28,0.33,37.2,0.256,0.243,0.738
138.4,1.93,0.45,37.5,0.557,0.438,0.521
83.1,1.51,0.45,37.9,0.325,0.587,0.467
110.7,1.99,0.42,37.1,0.256,0.639,0.525
98.8,1.35,0.54,37.1,0.49,-0.047,0.615
110.3,3.32,0.5,37.8,0.167,0.367,0.424
115.1,1.2,0.52,37.1,0.585,0.199,0.841
88.0,2.87,0.5,37.3,0.427,0.083,0.774
108.2,2.13,0.3,37.4,0.406,0.342,0.739
110.9,2.66,0.49,37.4,0.29,0.289,0.369
90.8,1.96,0.55,37.1,0.381,0.412,0.74
116.3,2.78,0.42,37.5,0.44,0.42,0.824
103.2,2.39,0.42,37.4,0.574,0.21,0.582
116.4,2.25,0.43,37.4,0.609,0.415,0.564
95.4,3.67,0.44,37.5,0.385,0.798,0.844
111.9,1.8,0.58,37.5,0.682,0.137,0.576
104.0,1.3,0.48,37.3,0.701,0.149,0.662
115.8,2.04,0.44,37.3,0.137,0.697,0.801
106.2,2.7,0.65,37.3,0.575,0.383,0.597
147.2,3.27,0.52,37.4,0.061,0.454,0.534
109.2,3.69,0.51,37.0,0.409,0.341,0.297
120.7,1.88,0.32,37.0,0.524,0.437,0.841
113.9,2.38,0.48,36.8,0.334,0.167,0.826
117.5,2.43,0.39,37.5,0.402,0.555,0.332
123.0,4.64,0.46,37.2,0.374,0.603,0.692
113.2,1.44,0.41,36.6,0.603,-0.016,0.989
112.8,3.02,0.41,37.3,0.698,0.372,0.81
107.3,1.73,0.28,37.0,0.523,0.506,0.617
102.2,1.19,0.44,37.5,0.584,0.543,0.625
104.6,3.1,0.47,37.6,0.456,0.223,0.704
112.7,2.48,0.45,37.2,0.767,-0.106,0.431
110.7,1.64,0.28,37.0,0.615,0.525,0.27
110.0,2.9,0.42,37.3,0.505,0.227,0.717
120.7,2.62,0.36,36.8,0.265,0.177,0.852
97.1,1.68,0.55,37.3,0.482,0.297,0.407
140.9,0.58,0.6,36.8,0.524,0.702,0.614
88.8,2.73,0.52,37.3,0.676,0.744,0.475
110.5,2.14,0.4,37.5,0.04,0.568,0.918
122.7,1.91,0.42,37.3,0.316,0.554,0.567
86.8,1.27,0.33,36.7,0.682,0.343,0.391
96.5,2.58,0.47,36.9,0.561,0.278,0.695
108.3,1.94,0.56,37.5,0.276,0.272,0.921
136.3,1.03,0.51,37.3,0.266,0.166,0.653
100.8,2.2,0.53,37.6,0.264,0.674,0.351
98.7,1.78,0.48,37.0,0.54,0.5,0.62
117.8,1.53,0.54,37.3,0.145,0.292,0.486
113.8,2.92,0.36,37.4,0.574,0.278,0.445
128.4,2.92,0.57,37.1,0.35,0.505,1.0
119.2,2.7,0.43,37.3,-0.106,0.355,0.494
