HR,EDA,IBI,TEMP,ACC_x,ACC_y,ACC_z
61.3,0.5,0.89,36.2,0.048,0.049,0.98
68.5,0.43,0.91,36.3,-0.004,0.037,0.92
73.7,0.6,0.8,36.3,0.081,0.089,0.925
68.5,0.65,0.88,36.6,0.09,0.015,0.859
69.1,0.79,0.86,36.3,0.04,0.038,1.0
75.6,0.49,0.88,36.5,0.119,0.084,0.934
72.0,0.37,0.9,36.5,0.073,0.101,0.95
91.7,0.65,0.94,36.5,0.05,0.044,0.991
85.7,0.97,0.76,36.1,0.082,0.033,0.967
78.9,0.49,0.88,36.4,0.022,0.028,0.982
84.1,0.43,0.85,36.2,0.044,0.067,0.916
76.5,0.57,0.85,36.4,0.033,0.041,0.966
80.7,0.1,0.78,36.5,0.052,0.016,0.975
61.8,0.76,0.81,36.6,0.052,0.045,0.95
69.2,0.66,0.89,36.4,0.071,0.063,0.972
73.8,0.59,0.87,36.6,0.058,0.088,0.929
56.4,0.8,0.91,36.9,0.066,0.088,0.911
79.7,0.5,0.97,36.6,0.078,0.093,0.958
79.7,0.65,0.9,36.4,0.011,0.039,1.0
62.4,0.42,0.76,36.5,0.078,0.077,0.936
67.7,0.19,0.9,36.3,0.03,0.104,0.93
68.3,0.61,0.92,36.5,0.082,0.011,0.922
60.0,0.1,0.89,36.3,0.041,0.031,0.92
70.5,0.44,0.95,36.4,0.099,0.03,1.0
60.3,0.3,0.9,36.4,0.093,0.069,0.877
72.2,0.5,0.91,36.5,0.053,0.043,0.926
82.7,0.56,0.9,36.1,0.102,0.081,0.963
64.3,0.68,0.86,36.5,0.056,0.039,0.981
65.8,0.54,0.8,36.3,0.068,0.027,0.917
65.3,0.62,0.82,36.6,0.024,0.059,1.0
62.5,0.9,0.89,36.5,0.077,0.04,0.998
58.7,0.31,0.78,36.1,0.05,0.069,0.948
74.2,0.3,0.79,36.4,0.065,0.039,0.938
76.7,0.64,0.89,36.2,0.004,0.055,0.974
66.9,0.16,0.94,36.3,0.038,0.001,0.964
83.0,0.66,0.81,36.3,0.007,0.099,0.927
58.9,0.73,0.86,36.5,0.111,0.061,1.0
68.0,0.48,0.75,36.6,0.09,0.073,0.947
67.0,0.34,0.9,36.2,0.086,0.025,0.951
66.9,0.7,0.83,36.4,0.069,0.051,0.98
71.1,0.68,0.85,36.3,0.018,0.036,0.92
72.6,0.32,0.74,36.4,0.005,0.035,0.944
67.1,0.82,0.85,36.3,0.064,0.036,0.93
79.7,0.15,0.84,36.2,0.033,0.036,0.997
63.3,0.1,0.9,36.5,0.038,0.054,0.965
84.9,0.86,0.86,36.5,0.087,0.039,0.926
72.7,0.24,0.91,36.4,0.036,0.069,0.963
84.4,0.58,0.91,36.4,0.07,0.052,0.955
82.0,0.64,0.69,36.1,0.048,0.06,0.942
72.1,0.58,0.8,36.3,0.074,0.064,0.896
