HR,EDA,IBI,TEMP,ACC_x,ACC_y,ACC_z
83.7,1.13,0.73,36.5,0.26,0.186,0.907
86.9,1.92,0.66,37.0,0.081,0.344,0.76
83.2,1.62,0.62,36.5,0.224,0.036,0.921
89.6,1.24,0.7,36.6,0.202,0.19,0.721
82.3,0.82,0.66,37.2,0.131,0.218,0.753
80.2,1.73,0.71,37.1,0.295,0.433,1.0
94.2,1.47,0.63,36.9,-0.164,0.037,0.804
92.0,1.3,0.52,36.6,0.147,0.273,0.736
97.9,1.66,0.69,36.9,0.155,0.189,0.677
95.8,1.2,0.56,36.9,0.217,0.389,0.852
94.1,1.06,0.81,36.8,0.17,0.177,0.796
92.0,1.07,0.73,37.0,0.11,0.206,0.798
103.4,1.04,0.83,36.6,0.227,0.366,0.844
93.8,0.8,0.49,36.8,0.317,0.153,0.641
106.6,1.31,0.74,36.8,0.185,0.147,0.676
80.3,1.2,0.66,36.7,0.162,0.296,0.723
96.9,1.44,0.71,37.1,0.201,0.192,0.904
82.1,1.58,0.66,36.7,0.232,0.194,0.79
73.2,1.35,0.63,36.9,0.207,0.395,0.709
74.0,1.23,0.78,37.0,0.222,0.131,0.733
83.4,2.09,0.71,36.6,0.163,0.21,0.803
105.2,1.59,0.62,36.8,0.338,0.17,0.916
78.5,0.91,0.58,37.0,0.215,0.13,0.868
111.4,1.21,0.8,36.6,0.284,0.335,0.832
81.3,0.91,0.65,36.7,0.173,0.272,0.659
77.1,1.31,0.65,36.8,0.19,0.124,0.871
89.1,1.65,0.76,36.4,0.164,0.319,0.784
85.7,0.71,0.68,37.3,0.251,0.257,0.573
80.1,1.26,0.53,37.0,0.023,0.274,0.834
90.3,0.73,0.79,36.8,0.184,0.372,0.902
84.5,1.23,0.68,37.2,0.169,0.247,0.864
87.6,1.34,0.57,36.8,0.113,0.194,0.933
81.9,1.19,0.64,36.3,0.222,0.153,0.751
110.1,1.29,0.49,37.2,0.109,0.239,0.777
79.8,0.86,0.69,36.9,0.046,0.115,0.795
92.9,1.27,0.72,36.8,0.158,0.317,0.797
105.2,1.27,0.74,36.8,0.261,0.248,0.889
68.8,0.98,0.8,36.7,0.224,0.282,1.0
94.3,1.99,0.74,36.3,0.157,0.228,0.808
96.6,1.06,0.76,37.0,0.115,0.138,0.795
82.9,1.2,0.59,36.8,0.442,-0.019,0.729
71.6,1.15,0.72,36.8,0.433,0.179,0.787
97.6,1.37,0.64,36.9,0.243,0.229,0.793
110.2,1.52,0.6,36.9,0.19,0.322,0.817
103.2,1.26,0.76,36.7,0.325,0.31,0.803
92.9,0.79,0.63,36.3,0.214,0.197,0.632
87.8,1.35,0.64,37.2,0.147,0.006,0.76
102.8,1.15,0.73,36.4,0.292,0.333,0.769
73.0,1.05,0.61,36.6,0.025,0.088,0.737
89.6,1.05,0.7,36.6,0.154,0.113,0.826
